Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.04
Horizontal Delay,0.0032
Sample Interval,4e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,10
Vertical Position,0.02
,
,
,
Label,
TIME,CH1
-1.9680e-01,0.2
-1.9676e-01,0.2
-1.9672e-01,0.2
-1.9668e-01,0.2
-1.9664e-01,0.2
-1.9660e-01,-0.2
-1.9656e-01,0.2
-1.9652e-01,0.2
-1.9648e-01,0.2
-1.9644e-01,0.2
-1.9640e-01,0.2
-1.9636e-01,0.2
-1.9632e-01,0.2
-1.9628e-01,0.2
-1.9624e-01,0.2
-1.9620e-01,-0.2
-1.9616e-01,0.2
-1.9612e-01,0.2
-1.9608e-01,0.2
-1.9604e-01,0.2
-1.9600e-01,0.2
-1.9596e-01,0.2
-1.9592e-01,-0.2
-1.9588e-01,-0.2
-1.9584e-01,0.2
-1.9580e-01,0.2
-1.9576e-01,-0.2
-1.9572e-01,0.2
-1.9568e-01,0.2
-1.9564e-01,0.2
-1.9560e-01,0.2
-1.9556e-01,-0.2
-1.9552e-01,-0.2
-1.9548e-01,0.2
-1.9544e-01,-0.2
-1.9540e-01,0.2
-1.9536e-01,0.2
-1.9532e-01,-0.2
-1.9528e-01,0.2
-1.9524e-01,-0.2
-1.9520e-01,0.2
-1.9516e-01,0.2
-1.9512e-01,0.2
-1.9508e-01,0.2
-1.9504e-01,-0.2
-1.9500e-01,0.2
-1.9496e-01,0.2
-1.9492e-01,0.2
-1.9488e-01,0.2
-1.9484e-01,0.2
-1.9480e-01,-0.2
-1.9476e-01,-0.2
-1.9472e-01,0.2
-1.9468e-01,0.2
-1.9464e-01,0.2
-1.9460e-01,-0.2
-1.9456e-01,-0.2
-1.9452e-01,-0.2
-1.9448e-01,0.2
-1.9444e-01,-0.2
-1.9440e-01,0.2
-1.9436e-01,0.2
-1.9432e-01,0.2
-1.9428e-01,0.2
-1.9424e-01,0.2
-1.9420e-01,0.2
-1.9416e-01,0.2
-1.9412e-01,0.2
-1.9408e-01,0.2
-1.9404e-01,0.2
-1.9400e-01,0.2
-1.9396e-01,0.2
-1.9392e-01,-0.2
-1.9388e-01,0.2
-1.9384e-01,0.2
-1.9380e-01,-0.2
-1.9376e-01,0.2
-1.9372e-01,0.2
-1.9368e-01,0.2
-1.9364e-01,0.2
-1.9360e-01,0.2
-1.9356e-01,0.2
-1.9352e-01,0.6
-1.9348e-01,0.2
-1.9344e-01,0.2
-1.9340e-01,0.2
-1.9336e-01,0.6
-1.9332e-01,0.2
-1.9328e-01,0.2
-1.9324e-01,0.2
-1.9320e-01,-0.2
-1.9316e-01,0.6
-1.9312e-01,0.2
-1.9308e-01,0.2
-1.9304e-01,0.2
-1.9300e-01,0.2
-1.9296e-01,0.2
-1.9292e-01,-0.2
-1.9288e-01,0.2
-1.9284e-01,0.2
-1.9280e-01,0.2
-1.9276e-01,0.2
-1.9272e-01,0.2
-1.9268e-01,0.2
-1.9264e-01,0.2
-1.9260e-01,0.2
-1.9256e-01,0.2
-1.9252e-01,0.2
-1.9248e-01,-0.2
-1.9244e-01,0.2
-1.9240e-01,-0.2
-1.9236e-01,0.2
-1.9232e-01,0.2
-1.9228e-01,0.2
-1.9224e-01,0.2
-1.9220e-01,0.2
-1.9216e-01,0.2
-1.9212e-01,0.2
-1.9208e-01,0.2
-1.9204e-01,0.2
-1.9200e-01,0.2
-1.9196e-01,0.2
-1.9192e-01,0.2
-1.9188e-01,0.2
-1.9184e-01,0.2
-1.9180e-01,0.2
-1.9176e-01,0.2
-1.9172e-01,0.2
-1.9168e-01,0.2
-1.9164e-01,0.2
